,area_num,geog,tot_pop,pop_hh,pop_gq,hisp,white,black,asian,other,total_homes,tot_hh,vac_homes,hh_size,vac_rate,hisp_per,white_per,black_per,asian_per
29,30,South Lawndale,71399,66262,5137,61970,2328,6246,206,649,22065,20069,1996,3.3017091035926054,9.046000453206435,86.79393268813288,3.260549867645205,8.748021680975924,0.2885194470510791
30,31,Lower West Side,33751,33465,286,23974,6377,1544,980,876,15649,13730,1919,2.437363437727604,12.262764393890983,71.0319694231282,18.89425498503748,4.574679268762407,2.903617670587538
31,32,The Loop,42298,38805,3493,3502,24092,3808,8749,2147,28477,24134,4343,1.6078975718902793,15.25090423850827,8.279351269563573,56.95777578136082,9.002789730010875,20.684193106057023
32,33,Near South Side,28795,28457,338,2101,12781,6570,5781,1562,17500,15774,1726,1.804044630404463,9.862857142857143,7.296405625976732,44.38617815592985,22.816461191179023,20.076402153151587
33,34,Armour Square,13890,13817,73,602,1535,1521,10033,199,6078,5648,430,2.4463526912181304,7.074695623560381,4.334053275737941,11.051115910727141,10.950323974082073,72.23182145428366
34,35,Douglas,20291,18484,1807,881,1847,14264,2539,760,11068,9878,1190,1.8712289937234257,10.751716660643297,4.341826425508846,9.102557784239318,70.29717608792075,12.51293676999655
35,36,Oakland,6799,6799,0,204,179,6149,59,208,3442,3217,225,2.113459745104134,6.5368971528181286,3.0004412413590233,2.6327401088395352,90.43977055449331,0.8677746727459921
36,37,Fuller Park,2567,2561,6,399,71,1998,15,84,1465,1140,325,2.2464912280701754,22.18430034129693,15.543435917413323,2.765874561745228,77.83404752629528,0.584339696143358
37,38,Grand Boulevard,24589,24368,221,754,633,22262,85,855,12730,11278,1452,2.160666784890938,11.406127258444618,3.066411810159014,2.574321851234292,90.5364187238196,0.34568302899670583
38,39,Kenwood,19116,18954,162,763,3121,12965,1364,903,11234,10097,1137,1.877191244924235,10.121061064625245,3.991420799330404,16.326637371835112,67.82276626909395,7.135383971542163
39,40,Washington Park,12707,12647,60,380,110,11924,16,277,5986,5168,818,2.447174922600619,13.665218843969262,2.990477689462501,0.8656645943180924,93.83804202408122,0.12591485008263162
40,41,Hyde Park,29456,26555,2901,2450,12022,8369,4796,1819,16719,14818,1901,1.7920772034012686,11.370297266582929,8.317490494296578,40.813416621401416,28.41186854970125,16.281912004345465
41,42,Woodlawn,24425,22993,1432,980,1846,19923,740,936,12335,10517,1818,2.1862698488162025,14.73854884475071,4.012282497441146,7.5578300921187305,81.56806550665301,3.029682702149437
42,43,South Shore,53971,53042,929,1352,948,49811,148,1712,30225,25748,4477,2.0600434985241574,14.812241521918942,2.5050490078004852,1.756498860499157,92.29215689907542,0.27422134109058566
43,44,Chatham,31710,31708,2,476,168,30275,39,752,17159,15053,2106,2.106423968644124,12.27344250830468,1.5011037527593818,0.5298013245033113,95.47461368653421,0.12298959318826869
44,45,Avalon Park,9458,9457,1,193,46,8922,17,280,4569,4145,424,2.281544028950542,9.279929962792734,2.040600549799112,0.48636075280186086,94.33283992387396,0.17974201733981815
45,46,South Chicago,27300,27142,158,5741,549,20228,44,738,13679,11017,2662,2.4636470908595807,19.46048687769574,21.02930402930403,2.010989010989011,74.0952380952381,0.16117216117216118
