comm_area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
44,,2.0,27.0,31.0,7.0,1.0,3.0,5.0,3.0,2.0,1.0,,3.0,4.0,2.0,5.0,1.0,5.0,
45,,1.0,10.0,3.0,6.0,,,3.0,2.0,3.0,1.0,,,,,1.0,,,
46,,1.0,13.0,12.0,10.0,2.0,3.0,3.0,2.0,,2.0,3.0,4.0,4.0,,4.0,4.0,4.0,
47,,1.0,13.0,9.0,3.0,2.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,
48,,1.0,15.0,1.0,4.0,3.0,,2.0,,1.0,,1.0,,,1.0,,2.0,,
49,,1.0,33.0,27.0,9.0,3.0,6.0,5.0,2.0,2.0,,2.0,5.0,1.0,2.0,3.0,5.0,7.0,1.0
50,,,2.0,3.0,2.0,1.0,,3.0,1.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,5.0,
51,,,8.0,9.0,11.0,2.0,4.0,8.0,2.0,2.0,3.0,4.0,6.0,3.0,1.0,3.0,4.0,1.0,
52,,1.0,11.0,12.0,3.0,1.0,,,4.0,1.0,,3.0,2.0,,2.0,,1.0,,
53,,4.0,36.0,22.0,6.0,3.0,6.0,5.0,,3.0,2.0,9.0,10.0,1.0,5.0,17.0,2.0,11.0,
54,,,,5.0,1.0,,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,
55,,,2.0,3.0,,,,,,,1.0,,1.0,4.0,,2.0,2.0,2.0,
56,,6.0,40.0,15.0,12.0,9.0,2.0,9.0,4.0,5.0,15.0,8.0,18.0,13.0,7.0,11.0,9.0,10.0,
57,,,12.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,,1.0,1.0,2.0,1.0,
58,,1.0,39.0,7.0,11.0,5.0,4.0,6.0,6.0,8.0,11.0,5.0,15.0,12.0,20.0,15.0,11.0,17.0,1.0
59,,2.0,40.0,9.0,11.0,7.0,5.0,14.0,10.0,10.0,25.0,17.0,26.0,38.0,10.0,17.0,8.0,9.0,
60,,15.0,150.0,41.0,16.0,21.0,14.0,24.0,36.0,67.0,70.0,45.0,57.0,62.0,42.0,29.0,22.0,38.0,
